Form: 110_frmClassBuilder
------------------------------------
Name: EmptyCell1440	Typ: EmptyCell
Name: EmptyCell2639	Typ: EmptyCell
Name: EmptyCell2657	Typ: EmptyCell
Name: pagEnumerations	Typ: Page
Name: Bezeichnungsfeld2564	Typ: Label
Name: EmptyCell2588	Typ: EmptyCell
Name: lstPreview_Enumeration	Typ: ListBox
Name: cmdPreviewEnumeration_MoveUp	Typ: CommandButton
Name: cmdPreviewEnumeration_MoveDown	Typ: CommandButton
Name: EmptyCell2589	Typ: EmptyCell
Name: cmdPreviewEnumerations_DeleteSelected	Typ: CommandButton
Name: EmptyCell2590	Typ: EmptyCell
Name: EmptyCell2591	Typ: EmptyCell
Name: EmptyCell2592	Typ: EmptyCell
Name: EmptyCell2593	Typ: EmptyCell
Name: EmptyCell2594	Typ: EmptyCell
Name: EmptyCell2595	Typ: EmptyCell
Name: EmptyCell2596	Typ: EmptyCell
Name: Bezeichnungsfeld2569	Typ: Label
Name: EmptyCell2597	Typ: EmptyCell
Name: txtEnumerationAdd_Acronym	Typ: TextBox
Name: Bezeichnungsfeld2573	Typ: Label
Name: EmptyCell2671	Typ: EmptyCell
Name: txtEnumerationAdd_Name	Typ: TextBox
Name: Bezeichnungsfeld2571	Typ: Label
Name: EmptyCell2598	Typ: EmptyCell
Name: txtEnumerationAdd_DataType	Typ: ComboBox
Name: Bezeichnungsfeld2659	Typ: Label
Name: EmptyCell2666	Typ: EmptyCell
Name: cmdEnum_Add	Typ: CommandButton
Name: EmptyCell2600	Typ: EmptyCell
Name: Bezeichnungsfeld2575	Typ: Label
Name: EmptyCell2640	Typ: EmptyCell
Name: lstPreview_Translation	Typ: ListBox
Name: cmdPreviewTranslation_MoveUp	Typ: CommandButton
Name: cmdPreviewTranslation_MoveDown	Typ: CommandButton
Name: EmptyCell2641	Typ: EmptyCell
Name: cmdPreviewTranslations_DeleteSelected	Typ: CommandButton
Name: EmptyCell2642	Typ: EmptyCell
Name: EmptyCell2643	Typ: EmptyCell
Name: EmptyCell2644	Typ: EmptyCell
Name: EmptyCell2645	Typ: EmptyCell
Name: EmptyCell2646	Typ: EmptyCell
Name: EmptyCell2647	Typ: EmptyCell
Name: EmptyCell2648	Typ: EmptyCell
Name: Bezeichnungsfeld2580	Typ: Label
Name: EmptyCell2649	Typ: EmptyCell
Name: txtEnumeration_Selected	Typ: TextBox
Name: Bezeichnungsfeld2582	Typ: Label
Name: EmptyCell2650	Typ: EmptyCell
Name: txtEnum_Value	Typ: TextBox
Name: Bezeichnungsfeld2584	Typ: Label
Name: EmptyCell2651	Typ: EmptyCell
Name: txtEnum_Translation	Typ: TextBox
Name: Bezeichnungsfeld2586	Typ: Label
Name: EmptyCell2652	Typ: EmptyCell
Name: cmdTranslation_Add	Typ: CommandButton
Name: EmptyCell2653	Typ: EmptyCell
Name: cmdReset	Typ: CommandButton
Name: cmdClass_Create	Typ: CommandButton
